Postcode,SuburbName,MeanCrimes,SumCrimes,Latitude,Longitude
3000,Melbourne CBD,22600.6,113003,-37.8141823,144.9598007
3002,East Melbourne,875.6,4378,-37.812498,144.9858851
3003,West Melbourne,549.8,2749,-37.81044755,144.920429793501
3006,"Southbank, South Wharf",2396.6,11983,-37.82534507765295,144.95668174831445
3008,Docklands,1149.6,5748,-37.8175423,144.9394923
3011,"Footscray, Seddon",3155.8,15779,-37.80245323491264,144.89447101808187
3012,"Brooklyn, Kingsville, Maidstone, Tottenham, West Footscray",2084.0,10420,-35.86916986000097,146.68160184617292
3013,Yarraville,835.4,4177,-37.8180051,144.8819389
3015,"Newport, Spotswood, South Kingsville",1147.4,5737,-37.83463329387215,144.87990787045757
3016,"Williamstown, Williamstown North",1297.4,6487,-37.85691251522578,144.8793670428558
3018,"Altona, Seaholme",908.6,4543,-37.864007942437034,144.8273915956046
3019,Braybrook,1143.6,5718,-37.7867076,144.8548451
3020,"Albion, Sunshine, Sunshine North, Sunshine West",6172.8,30864,-37.78200128529997,144.82440855295255
3021,"Albanvale, Kealba, Kings Park, St Albans",4654.8,23274,-37.74050263987098,144.79344762150453
3022,Ardeer,500.2,2501,-37.7758681,144.8014637
3023,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Ravenhall",4442.6,22213,-37.308266167473505,143.70937569079445
3024,"Fieldstone, Mount Cottrell, Manor Lakes, Wyndham Vale, Mambourin",1172.8,5864,-37.83525597816391,144.60620788628748
3025,Altona North,1211.4,6057,-37.8378229,144.8342853
3026,Laverton North,648.2,3241,-37.8300705,144.7869487
3027,Williams Landing,248.8,1244,-37.8614297,144.7445428
3028,"Altona Meadows, Laverton, Seabrook",2048.6,10243,-36.55441285549021,135.03121268436382
3029,"Truganina, Hoppers Crossing, Tarneit",5413.0,27065,-37.8369748182885,144.69359171024485
3030,"Derrimut, Point Cook, Werribee, Werribee South, Cocoroc",6321.0,31605,-37.912309514285006,144.6985085354708
3031,"Flemington, Kensington",2403.4,12017,-37.790557112344025,144.9232075525553
3032,"Maribyrnong, Ascot Vale, Travancore",3177.2,15886,-37.775743445728516,144.9131426473557
3033,Keilor East,674.4,3372,-37.7383776,144.8561207
3034,Avondale Heights,442.6,2213,-37.7614537,144.862141
3036,"Keilor, Keilor North",303.0,1515,-37.69649398409805,144.80904278808106
3037,"Calder Park, Delahey, Hillside, Sydenham, Taylors Hill",2530.0,12650,-37.70030265774308,144.75976703576734
3038,"Keilor Downs, Keilor Lodge, Taylors Lakes",1983.4,9917,-37.705874456821135,144.79696083301852
3039,Moonee Ponds,1462.2,7311,-37.765575,144.9212864
3040,"Aberfeldie, Essendon, Essendon West",1466.2,7331,-37.75469683118361,144.89726863087793
3041,"Essendon Fields, Essendon North, Strathmore, Strathmore Heights",639.0,3195,-37.72802126405706,144.90419075468287
3042,"Keilor Park, Airport West, Niddrie",1480.6,7403,-37.726918484193945,144.8728168298749
3043,"Tullamarine, Gladstone Park, Gowanbrae",1619.0,8095,-37.699069692389905,144.88794605224072
3044,"Pascoe Vale, Pascoe Vale South",1317.0,6585,-37.73425210028148,144.93821851801252
3045,Melbourne Airport,612.6,3063,-37.667111,144.833480766796
3046,"Glenroy, Hadfield, Oak Park",2462.8,12314,-37.71038097013575,144.9322629560109
3047,"Broadmeadows, Dallas, Jacana",4101.8,20509,-37.68308181184493,144.927850431613
3048,"Coolaroo, Meadow Heights",1607.4,8037,-37.65396337124408,144.92656839811156
3049,"Attwood, Westmeadows",473.2,2366,-37.671945736238115,144.88938154966903
3051,North Melbourne,1711.0,8555,-37.7985747,144.9451741
3052,Parkville,825.2,4126,-37.7871148,144.9515533
3053,Carlton,1912.0,9560,-37.8004228,144.9684343
3054,"Carlton North, Princes Hill",559.2,2796,-37.78318134176632,144.96971134141828
3055,Brunswick West,708.2,3541,-37.7633334,144.9425563
3056,Brunswick,2682.8,13414,-37.7664715,144.9613103
3057,Brunswick East,725.4,3627,-37.7688802,144.9776825
3058,"Coburg, Coburg North",3482.4,17412,-37.7346573112097,144.96596072702607
3059,Greenvale,542.2,2711,-37.6347658,144.8814617
3060,Fawkner,1050.0,5250,-37.7052065,144.9696144
3061,Campbellfield,1429.8,7149,-37.6641298,144.959583
3062,Somerton,187.0,935,-37.634688,144.9507961
3063,"Oaklands Junction, Yuroke",22.0,110,-37.592053838758716,144.8624286620801
3064,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham",4337.8,21689,-37.57714404619509,144.91584856697477
3065,Fitzroy,2601.4,13007,-37.8010382,144.9792611
3066,Collingwood,1721.6,8608,-37.802104,144.9881387
3067,Abbotsford,1059.6,5298,-37.8045508,144.9988542
3068,"Clifton Hill, Fitzroy North",1562.6,7813,-37.298544730821654,142.6934057672861
